category,rating,label,text,validity
Kindle_Store_5,5,CG,This book I can't wait for more by this author. I will definitely be reading the next one,1
Kindle_Store_5,5,CG,Love this series cant wait for more by this author. I will keep my eyes peeled for the next,1
Kindle_Store_5,5,CG,Read the books 2 time reading. The characters are well developed and believable. The story flows smoothly.,1
Kindle_Store_5,4,CG,very enjoyable. I would recommend this book to anyone. I really enjoyed this book.,1
Kindle_Store_5,5,CG,Great story can't wait for more. The characters are well developed and the story is well written.,1
Kindle_Store_5,4,CG,This was a very good book. The characters were well developed and kept my interest.,1
Kindle_Store_5,5,CG,"Fun reading - lots of action and suspense.  Not too much sex, just a little bit of",1
Kindle_Store_5,5,CG,Absolutely love Cage! This series is an amazing story and you will not be disappointed.,1
Kindle_Store_5,5,CG,Elle Casey Thank You for reading this book. It is a great book for a beginner to the,1
Kindle_Store_5,4,CG,Great for all thos ebeta readers. The story is a good read. If you are looking,1
Kindle_Store_5,5,CG,Great book and have read it in one sitting. I will keep reading it.,1
Kindle_Store_5,1,CG,Not a book worth the time it took to read. I will admit that I was a bit nervous,1
Kindle_Store_5,5,CG,"I love all the books in this series.  I loved all the characters, the way they came",1
Kindle_Store_5,5,CG,"Always a pleasure able, easy reading. The characters are well developed and believable. The story flows smoothly",1
Kindle_Store_5,4,CG,Another good read of this series. The characters are well developed and the story is well told.,1
Kindle_Store_5,5,OR,Five stars! Check out all her other awesome books too!,0
Kindle_Store_5,5,OR,As with all the others in series this was great.,0
Kindle_Store_5,4,OR,Gave as a gift. He seems to really like it.,0
Kindle_Store_5,5,OR,"Love a good mystery, hope its solved by thitd book",0
Kindle_Store_5,5,OR,"Awesome, sexy, sassy, but most of all just heart warming.",0
Kindle_Store_5,5,OR,"Ve5ry fast reading content., pulls the reader along very quickly;",0
Kindle_Store_5,5,OR,I am waiting somewhat patiently for Mr. Pattersons next novel.,0
Kindle_Store_5,4,OR,Loved the book kept me interested from beginning to end,0
Kindle_Store_5,5,OR,Refreshing and happy ever-after ending.  I needed that today.,0
Kindle_Store_5,4,OR,A steamy good read. I enjoyed Evie and David's story.,0
Kindle_Store_5,5,OR,"Wonderful books, how the characters have evolved, keep m coming",0
Kindle_Store_5,5,OR,"i love all mailorder bride books keep them coming, thankssherry",0
Kindle_Store_5,5,OR,Wonderful!  All the books in these series are great,0
Kindle_Store_5,4,OR,Good story. Well written. Would read more from this author.,0
Kindle_Store_5,5,OR,"Fascinating mystery, intriging. Kept my interest throughout.",0
Kindle_Store_5,5,CG,"Great read.  I would recommend it.  Great job.

**I received a copy",1
Kindle_Store_5,5,CG,Fantastic book.  I wish it had been longer.  I will keep reading. ,1
Kindle_Store_5,3,CG,The story was kind of predictable. The characters were just too predictable. There were too many typos,1
Kindle_Store_5,4,CG,"Great cookbook! Lots of choices, some of the recipes are easy to follow and make for a",1
Kindle_Store_5,5,CG,Very easy read.  Keeps you on the edge of your seat.  This is a must,1
Kindle_Store_5,5,CG,Great read! i enjoyed reading it and i hope you will read it too! I received a free,1
Kindle_Store_5,4,CG,"Really enjoyed this! A few issues with the story, which I will admit, were the first one",1
Kindle_Store_5,5,CG,great book cannot wait for more. The characters are well developed and the story is well told.,1
Kindle_Store_5,4,CG,"Loved this story. Ryan is a sweet, sweet, funny, sexy guy who just loves to",1
Kindle_Store_5,5,CG,Can`t wait for next one.I love the way these two characters developed and developed the story,1
Kindle_Store_5,5,CG,It is a very good book. The characters are well developed and the story is well told.,1
Kindle_Store_5,5,CG,Couldn't put it down. A definite must read.This is a great book for a beginner,1
Kindle_Store_5,4,CG,Pretty predictable. It's exactly what I expected and the writing is good. I also enjoyed the way,1
Kindle_Store_5,4,OR,I read them all. The character & plot kept me entertained.,0
Kindle_Store_5,4,OR,Beautiful story.  Makes me want continue with the next book!,0
Kindle_Store_5,4,OR,Great great story! And I love when it is a series!!!!,0
Kindle_Store_5,5,OR,Loved this story. It was hard to put the book down.,0
Kindle_Store_5,5,OR,I want to join a MC club. I love this book,0
Kindle_Store_5,5,OR,These books are amazing. I can't wait to read them again!!!,0
Kindle_Store_5,3,OR,"I short quick read. Nothing spectacular, but a good a story.",0
Kindle_Store_5,4,OR,a good series. drags in some spots.,0
Kindle_Store_5,5,OR,Love it. Can't wait to read another story from this author,0
Kindle_Store_5,5,OR,"A very nice, clean (no sex but does have shootings) story.",0
Kindle_Store_5,5,OR,Really enjoyed this book and the insight into Christian it gives.,0
Kindle_Store_5,2,OR,Little more than a short story but interesting just the same.,0
Kindle_Store_5,5,OR,One of the best short stories I have ever read !,0
Kindle_Store_5,5,CG,The only compliant for this book is the fact that it is a prequel to the first one.,1
Kindle_Store_5,5,CG,"Brandi and Becky wrote another amazing book and I look forward to reading more of her books!
",1
Kindle_Store_5,5,CG,"Best book no regrets getting this book, I highly recommend it.  This is the first book by",1
Kindle_Store_5,5,CG,I am really enjoying Coldwater. The characters are well developed and the story is well told.,1
Kindle_Store_5,3,CG,An easy read for the weekend. The characters are well developed and the plot is well thought out.,1
Kindle_Store_5,5,CG,enjoyed reading Lazy Love especially since it was free and I was able to read it in,1
Kindle_Store_5,4,CG,"will fine the time to go back and read the other two books.

The first one is",1
Kindle_Store_5,5,CG,"Molly Greene this is such a sweet, sweet, romantic story about love, loss, and how",1
Kindle_Store_5,5,CG,one of the best I've read. The characters are well developed and the story is well told.,1
Kindle_Store_5,4,CG,Fun read! Reminded me to go back and read the other two books.,1
Kindle_Store_5,5,CG,"The story was well developed and the characters were well developed.

The story was a bit slow",1
Kindle_Store_5,5,CG,I enjoy reading Skye's books.  She is an interesting writer.  She has a very,1
Kindle_Store_5,5,CG,"Great book, great searies, very good characters, great writing. I will definitely read more by",1
Kindle_Store_5,4,OR,It was just okay considering it was talking about the Landry girls.,0
Kindle_Store_5,5,OR,I enjoyed this book.  Kept me interested right to the end.,0
Kindle_Store_5,5,OR,"Absolutely loved it!!!!  In fact, I love all of her books!!!!!",0
