category,rating,label,text,validity
Tools_and_Home_Improvement_5,5,CG,Nice modern look for the price. The only problem is that it comes with a small screw driver.,1
Tools_and_Home_Improvement_5,5,CG,The tsticker is very hi-quality and the materials are good.  The only reason I,1
Tools_and_Home_Improvement_5,5,CG,"I gave this as a gift. The only problem is that it's not really a flashlight, but",1
Tools_and_Home_Improvement_5,4,CG,"fits for delta cassidy with a standard 3/4"" thick saw blade, just the right edge",1
Tools_and_Home_Improvement_5,5,CG,"Added a modern touch to the old style.  Not too much work for a small person, but",1
Tools_and_Home_Improvement_5,4,CG,"Nice little spotlight aim. Small enough to be useful, but I will admit that it's a pretty",1
Tools_and_Home_Improvement_5,5,CG,"Works great!
This was my fourth.
When I bought the second one I was a little",1
Tools_and_Home_Improvement_5,5,CG,Replaced one that died after a year and a half. I will not replace it.,1
Tools_and_Home_Improvement_5,5,CG,Works very well and the light has a wide beam. I will keep this in the tool box.,1
Tools_and_Home_Improvement_5,5,CG,awesome tool from awesome toolbox. The only problem is that it comes with a small screw driver,1
Tools_and_Home_Improvement_5,5,CG,"great wrenches tried and true, this one is the best I have ever had.",1
Tools_and_Home_Improvement_5,5,CG,Very attractive towel or robe.  The design is comfortable and smooth.  The dimensions are just right,1
Tools_and_Home_Improvement_5,5,CG,These are great and built well. The only problem is that they are not really yellow.,1
Tools_and_Home_Improvement_5,5,CG,These are great little lights that will light up the house.  I also like the fact that they,1
Tools_and_Home_Improvement_5,5,CG,"broke my axle nuts on the old part.  Not sure how they ever work, but they",1
Tools_and_Home_Improvement_5,5,CG,Easy to use for small jobs. The only problem is that it's not really a strong one.,1
Tools_and_Home_Improvement_5,5,CG,Works perfectly and adds ambiance to my garage.  I've also used this for a few years,1
Tools_and_Home_Improvement_5,4,CG,"no problem, arrived on time, and has the quality and quality of a quality toilet.",1
Tools_and_Home_Improvement_5,5,CG,"Can't beat the price for this set, the materials are good, and the quality is outstanding.",1
Tools_and_Home_Improvement_5,5,CG,They work great and fit perfect. The only problem is that it comes with a small screw driver.,1
Tools_and_Home_Improvement_5,5,CG,"The ""fine"" side isn't real, it's just a bit too large.",1
Tools_and_Home_Improvement_5,5,CG,"well made, opens quickly and has the quality of a good saw.  The dimensions are just right",1
Tools_and_Home_Improvement_5,5,CG,"Nice product, great looking, easy to install, and very comfortable.

The only reason I",1
Tools_and_Home_Improvement_5,5,CG,Easy to use and works great. The only problem is that it comes with a small screw driver.,1
Tools_and_Home_Improvement_5,5,CG,"appears to be a well made tool, with a good set of safety glasses, a strong edge",1
Tools_and_Home_Improvement_5,5,CG,was looking for a millimeter saw.  It's a good saw.  The dimensions are pretty,1
Tools_and_Home_Improvement_5,5,CG,High-quality! not disappointing in any way. The only problem is that it comes with a small,1
Tools_and_Home_Improvement_5,5,CG,I use and abuse this saw.  It's a good saw.  It's been used to,1
Tools_and_Home_Improvement_5,5,CG,It was exactly what I needed. The only problem is that it was too small for my desk.,1
Tools_and_Home_Improvement_5,5,CG,Can never have enough pegs.  The only reason I didn't buy this is because I just,1
Tools_and_Home_Improvement_5,5,CG,Works great for showering and cleaning. The only problem is that it comes with a small screw driver,1
Tools_and_Home_Improvement_5,5,CG,"Took two seconds to open and close the door, which was a lot of work.",1
Tools_and_Home_Improvement_5,4,CG,"Actually a heavy duty product, but I thought it would be a nice addition to the tool box.",1
Tools_and_Home_Improvement_5,5,CG,very nice even light for what it is.  I've also used this for a few hours.,1
Tools_and_Home_Improvement_5,5,CG,this really helps when im using it and the light is very bright.  I would recommend it.,1
Tools_and_Home_Improvement_5,4,CG,Hopefully never have to use this tool again.  I've used it for a couple of years now,1
Tools_and_Home_Improvement_5,5,CG,GREAT LIGHTS - VERY HAPPY AND VERY TAKENING - WELL WELL,1
Tools_and_Home_Improvement_5,5,CG,Worked out great to hang some of the pieces on. I also used this to hang a couple,1
Tools_and_Home_Improvement_5,5,CG,This is the  best tool I have ever used. I will be purchasing more.Very nice.,1
Tools_and_Home_Improvement_5,5,CG,Bright!  Rechargeable batteries and a charger (I'd say I need a charger for the,1
Tools_and_Home_Improvement_5,4,CG,does as advertised. better than what I expected. We love this saw.,1
Tools_and_Home_Improvement_5,5,CG,Nice right angle drive!!  Not an easy task to install but it works!  I have one,1
Tools_and_Home_Improvement_5,5,CG,Outstanding shower head!  Exceeded my expectations and the shower head is a nice piece of,1
Tools_and_Home_Improvement_5,5,CG,"Got my old Buffalo 14"" saw set and bought this. I will admit that I have been using",1
Tools_and_Home_Improvement_5,5,CG,These lights work well in my house and are very bright.  I also like the fact that they,1
Tools_and_Home_Improvement_5,1,CG,These always run way too hot. The only way to fix it is to just keep the thermost,1
Tools_and_Home_Improvement_5,5,CG,"Have used SK ratchets for years, and the Bosch has always been my go to tool",1
Tools_and_Home_Improvement_5,5,CG,"Love the long bar.  Not sure if the long bar is a safety hazard, but I'm",1
Tools_and_Home_Improvement_5,5,OR,Works great.  Needs to be made in the USA!,0
